Name,City,Source,URL,Description,Is Healthcare Building,Medical Office Building,Physio Suitability (1-5),Estimated Stage,Lead Quality,Confidence (%),Reasoning,Ground Floor,Est. Size (sqm),Accessibility
Ärztezentrum Leipzig Zentrum-Ost Phase 2,Leipzig,Developer Press,https://www.beispiel.de/projekte/leipzig-zentrum-ost,"Neubau eines modernen Ärztezentrums mit ca. 380 qm Erdgeschoss-Fläche, 14 Arztpraxen verschiedener Fachrichtungen, rollstuhlgerecht, 30 Parkplätze, geplante Fertigstellung Q4 2024. In der Genehmigungsphase.",No,No,2,planning,medium,91,Mock evaluation based on available information.,Unknown,Unknown,Unknown
Medizinisches Versorgungszentrum Berlin-Charlottenburg,Berlin,Google News,https://www.berlin.de/ba-charlottenburg-wilmersdorf/news/2024,"Planungen für neues Ärztezentrum in Charlottenburg, Bodenfläche ca. 420 qm auf Erdgeschoss, 16 Facharztpraxen, öffentliche Verkehrsanbindung direkt vor Ort, Baustart geplant Q1 2025. Baugenehmigung erteilt.",Yes,Yes,4,approval,high,92,"Medical supply center confirmed, 420sqm ground floor, excellent transit access.",Yes,420,Yes
Praxisklinik Dresden Altstadt-Zentrum,Dresden,Bing News,https://www.dresden.de/projekte/altstadt,"Konzeptstudie und Machbarkeitsstudie für integrierte Praxisklinik Dresden Altstadt. Erdgeschoss ca. 350-450 qm, zentrale Lage mit hoher Fußgängerfrequenz, noch in früher Planungsphase (Konzept).",Yes,Yes,4,concept,medium,85,"Practice clinic planned, right size (350-450sqm), early stage but high foot traffic.",Yes,400,Unknown
Gesundheitszentrum Magdeburg-Südstadt,Magdeburg,Developer Website,https://www.magdeburg.de/bau/gesundheitszentrum,"Neues Gesundheitszentrum Südstadt Magdeburg mit gemischter Nutzung. Medizinische Flächen ca. 280 qm, nicht Erdgeschoss (1. OG), mittlere Verkehrserreichbarkeit, aktuell in Planungsphase.",Yes,No,2,planning,low,80,"Health center confirmed but not ground floor (1st floor), smaller size (280sqm), moderate location.",No,280,Unknown
Ärztezentrum Potsdam Innenstadt,Potsdam,Google News,https://www.potsdam.de/bauprojekte,"Sanierung und Umwandlung historisches Gebäude zu Ärztezentrum, ca. 300 qm Nutzfläche (gemischt über mehrere Ebenen), Zentrumsrand, rollstuhlgerecht nachgerüstet, in Genehmigungsphase.",Yes,Yes,3,approval,medium,88,"Ärztehaus confirmed, multi-level (not pure ground floor), good location, accessible.",Yes,300,Yes
Ambulantes Zentrum Cottbus Zentrum,Cottbus,Bing News,https://www.cottbus.de/projekte,"Neubau ambulantes medizinisches Zentrum Cottbus Zentrum, ca. 260 qm Erdgeschoss, hochwertige Lage, 15 Parkplätze, noch in Konzeptphase, Investor sucht Mieter.",Yes,Yes,4,concept,medium,82,"Ambulatory center, 260sqm ground floor, excellent central location, early stage.",Yes,260,Unknown
Arztpraxishaus Halle (Saale) Südpark,Halle,Developer Press,https://www.halle.de/bauprojekte,"Planung neues Arztpraxishaus in Südpark-Gebiet Halle. Erdgeschoss ca. 320 qm, 8-10 Praxen, periphere Lage, öffentliche Verkehrsanbindung gut, Baustart Q2 2025 geplant.",Yes,Yes,3,planning,medium,80,"Medical practice house, 320sqm ground floor, peripheral location, Q2 2025 start.",Yes,320,Unknown
Medizinische Versorgung Berlin-Friedrichshain,Berlin,Google News,https://www.berlin.de/ba-friedrichshain-kreuzberg,"Neue medizinische Versorgungspraxis in Friedrichshain, ca. 200 qm Fläche (Mischnutzung), in aktiver Konstruktion, Eröffnung geplant Sommer 2024.",Yes,No,1,construction,low,75,"Generic medical care facility, small space (200sqm mixed), advanced construction stage.",Unknown,200,Unknown
Ärztezentrum Leipzig-Gohlis Neubau,Leipzig,Developer Website,https://www.leipzig.de/bauprojekte,"Neubau Ärztehaus Leipzig-Gohlis, ca. 400 qm Erdgeschoss, 12 Facharztpraxen, direkt am Park, hervorragende Zugänglichkeit, aktuell Marketing-Phase, Eröffnung Q1 2025.",Yes,Yes,5,marketing,high,98,"Confirmed Ärztehaus, 400sqm ground floor, prime location near park, marketing phase.",Yes,400,Yes
Gesundheitspark Dresden-Neustadt,Dresden,Press Release,https://www.dresden.de/gesundheitspark,"Integrierter Gesundheitspark Dresden-Neustadt mit Ärztehaus-Komponente, ca. 500+ qm medizinische Nutzung (mehrere Ebenen), Studentenstadt-Lage, in früher Planungsphase.",Yes,No,2,concept,low,70,"Health park (mixed use), medical portion 500+sqm multi-level, early stage, complex development.",Unknown,500,Unknown
